url,api,get,post,put,patch,delete
/sites/name/{name},classic,False,N/A,N/A,N/A,N/A
/smtpserver,classic,False,N/A,False,N/A,N/A
/softwareupdateservers,classic,False,N/A,N/A,N/A,N/A
/softwareupdateservers/id/{id},classic,False,False,False,N/A,False
/softwareupdateservers/name/{name},classic,False,N/A,N/A,N/A,N/A
/userextensionattributes,classic,False,N/A,N/A,N/A,N/A
/userextensionattributes/id/{id},classic,False,False,False,N/A,False
/userextensionattributes/name/{name},classic,False,N/A,N/A,N/A,N/A
/usergroups,classic,False,N/A,N/A,N/A,N/A
/usergroups/id/{id},classic,False,False,False,N/A,False
/usergroups/name/{name},classic,False,N/A,N/A,N/A,N/A
/users,classic,False,N/A,N/A,N/A,N/A
/users/email/{email},classic,False,N/A,N/A,N/A,N/A
/users/id/{id},classic,False,False,False,N/A,False
/users/name/{name},classic,False,N/A,N/A,N/A,N/A
/vppaccounts,classic,False,N/A,N/A,N/A,N/A
/vppaccounts/id/{id},classic,False,False,False,N/A,False
/vppassignments,classic,False,N/A,N/A,N/A,N/A
/vppassignments/id/{id},classic,False,False,False,N/A,False
/vppinvitations,classic,False,N/A,N/A,N/A,N/A
/vppinvitations/id/{id},classic,False,False,False,N/A,False
/vppinvitations/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/webhooks,classic,False,N/A,N/A,N/A,N/A
/webhooks/id/{id},classic,False,False,False,N/A,False
/webhooks/name/{name},classic,False,N/A,N/A,N/A,N/A
