url,api,get,post,put,patch,delete
/mobiledevicecommands/command/{command},pro,False,False,N/A,N/A,N/A
/mobiledevicecommands/command/{command}/id/{id_list},pro,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/name/{name},pro,False,N/A,N/A,N/A,N/A
/mobiledevicecommands/uuid/{uuid},pro,False,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles,pro,True,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles/id/{id},pro,True,False,True,N/A,True
/mobiledeviceconfigurationprofiles/id/{id}/subset/{subset},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles/name/{name},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles,pro,True,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles/id/{id},pro,True,False,True,N/A,True
/mobiledeviceenrollmentprofiles/id/{id}/subset/{subset},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles/invitation/{invitation},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles/name/{name},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceextensionattributes,pro,True,N/A,N/A,N/A,N/A
/mobiledeviceextensionattributes/id/{id},pro,True,False,True,N/A,True
/mobiledeviceextensionattributes/name/{name},pro,True,N/A,N/A,N/A,N/A
/mobiledevicegroups,pro,True,N/A,N/A,N/A,N/A
/mobiledevicegroups/id/{id},pro,True,False,True,N/A,True
/mobiledevicegroups/name/{name},pro,True,N/A,N/A,N/A,N/A
/mobiledevicehistory/id/{id},pro,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/macaddress/{macaddress},pro,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/name/{name},pro,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/serialnumber/{serialnumber},pro,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/udid/{udid},pro,False,N/A,N/A,N/A,N/A
/mobiledeviceinvitations,pro,False,N/A,N/A,N/A,N/A
/mobiledeviceinvitations/id/{id},pro,False,False,N/A,N/A,False
/mobiledeviceinvitations/invitation/{invitation},pro,False,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles,pro,True,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles/id/{id},pro,True,True,True,N/A,True
/mobiledeviceprovisioningprofiles/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles/name/{name},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles/uuid/{uuid},pro,True,N/A,N/A,N/A,N/A
/mobiledevices,pro,False,N/A,N/A,N/A,N/A
/mobiledevices/id/{id},pro,False,False,False,N/A,False
/mobiledevices/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/mobiledevices/macaddress/{macaddress},pro,False,N/A,N/A,N/A,N/A
/mobiledevices/match/{match},pro,False,N/A,N/A,N/A,N/A
/mobiledevices/name/{name},pro,False,N/A,N/A,N/A,N/A
/mobiledevices/serialnumber/{serialnumber},pro,False,N/A,N/A,N/A,N/A
/mobiledevices/udid/{udid},pro,False,N/A,N/A,N/A,N/A
/networksegments,pro,True,N/A,N/A,N/A,N/A
/networksegments/id/{id},pro,True,False,True,N/A,True
/networksegments/name/{name},pro,True,N/A,N/A,N/A,N/A
/osxconfigurationprofiles,pro,True,N/A,N/A,N/A,N/A
/osxconfigurationprofiles/id/{id},pro,True,False,True,N/A,True
/osxconfigurationprofiles/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/osxconfigurationprofiles/name/{name},pro,True,N/A,N/A,N/A,N/A
/packages,pro,False,N/A,N/A,N/A,N/A
/packages/id/{id},pro,False,False,False,N/A,False
/packages/name/{name},pro,False,N/A,N/A,N/A,N/A
/patchavailabletitles/sourceid/{id},pro,False,N/A,N/A,N/A,N/A
/patches,pro,False,N/A,N/A,N/A,N/A
/patches/id/{id},pro,False,False,False,N/A,False
/patches/id/{id}/version/{version},pro,False,N/A,N/A,N/A,N/A
/patches/name/{name},pro,False,N/A,N/A,N/A,N/A
/patchexternalsources,pro,False,N/A,N/A,N/A,N/A
/patchexternalsources/id/{id},pro,False,False,False,N/A,False
/patchexternalsources/name/{name},pro,False,N/A,N/A,N/A,N/A
